experiment,monte carlo,rows,runtime
satellites_opt-off_optimizations-off_rows_3,0,3,461059
satellites_opt-off_optimizations-off_rows_2,0,2,1318
satellites_opt-off_optimizations-off_rows_1,0,1,128
